Date,DowJones,NASDAQ,SP500
2022-02-28,33892.6015625,13751.400390625,4373.93994140625
2022-03-01,33294.94921875,13532.4599609375,4306.259765625
2022-03-02,33891.3515625,13752.01953125,4386.5400390625
2022-03-03,33794.66015625,13537.9404296875,4363.490234375
2022-03-04,33614.80078125,13313.4404296875,4328.8701171875
2022-03-07,32817.37890625,12830.9599609375,4201.08984375
2022-03-08,32632.640625,12795.5498046875,4170.7001953125
2022-03-09,33286.25,13255.5498046875,4277.8798828125
2022-03-10,33174.0703125,13129.9599609375,4259.52001953125
2022-03-11,32944.19140625,12843.8095703125,4204.31005859375
2022-03-14,32945.23828125,12581.2197265625,4173.10986328125
2022-03-15,33544.33984375,12948.6201171875,4262.4501953125
2022-03-16,34063.1015625,13436.5498046875,4357.85986328125
2022-03-17,34480.76171875,13614.7802734375,4411.669921875
2022-03-18,34754.9296875,13893.83984375,4463.1201171875
2022-03-21,34552.98828125,13838.4599609375,4461.18017578125
2022-03-22,34807.4609375,14108.8203125,4511.60986328125
2022-03-23,34358.5,13922.599609375,4456.240234375
2022-03-24,34707.94140625,14191.83984375,4520.16015625
2022-03-25,34861.23828125,14169.2998046875,4543.06005859375
2022-03-28,34955.890625,14354.900390625,4575.52001953125
2022-03-29,35294.19140625,14619.6396484375,4631.60009765625
2022-03-30,35228.80859375,14442.26953125,4602.4501953125
2022-03-31,34678.3515625,14220.51953125,4530.41015625
2022-04-01,34818.26953125,14261.5,4545.85986328125
2022-04-04,34921.87890625,14532.5498046875,4582.64013671875
2022-04-05,34641.1796875,14204.169921875,4525.1201171875
2022-04-06,34496.51171875,13888.8203125,4481.14990234375
2022-04-07,34583.5703125,13897.2998046875,4500.2099609375
2022-04-08,34721.12109375,13711.0,4488.27978515625
2022-04-11,34308.078125,13411.9599609375,4412.52978515625
2022-04-12,34220.359375,13371.5703125,4397.4501953125
2022-04-13,34564.58984375,13643.58984375,4446.58984375
2022-04-14,34451.23046875,13351.080078125,4392.58984375
2022-04-18,34411.69140625,13332.3603515625,4391.68994140625
2022-04-19,34911.19921875,13619.66015625,4462.2099609375
2022-04-20,35160.7890625,13453.0703125,4459.4501953125
2022-04-21,34792.76171875,13174.650390625,4393.66015625
2022-04-22,33811.3984375,12839.2900390625,4271.77978515625
2022-04-25,34049.4609375,13004.849609375,4296.1201171875
2022-04-26,33240.1796875,12490.740234375,4175.2001953125
2022-04-27,33301.9296875,12488.9296875,4183.9599609375
2022-04-28,33916.390625,12871.5302734375,4287.5
2022-04-29,32977.2109375,12334.6396484375,4131.93017578125
2022-05-02,33061.5,12536.01953125,4155.3798828125
2022-05-03,33128.7890625,12563.759765625,4175.47998046875
2022-05-04,34061.05859375,12964.8603515625,4300.169921875
2022-05-05,32997.96875,12317.6904296875,4146.8701171875
2022-05-06,32899.37109375,12144.66015625,4123.33984375
